accessionnr	jaar
AAT12039	2000
AAT12040	2001
AAT12041	2001
AAT12042	2000
AAT12654	2003
AAT12655	2003
AAT12656	2003
AAT12657	2003
AAT12658	2003
AAT12659	2003
AAT12660	2003
AAT12661	2003
AAT12662	2003
AAT12663	2003
AAT12664	2003
AAT12665	2003
AAT12666	2003
AAT12667	2003
AAT12668	2003
AAT12669	2003
AAT12670	2003
AAT12671	2003
AAT12672	2003
AAT12673	2003
AAT12674	2003
AAT12675	2003
AAT12676	2003
AAT12703	2001
AAT12704	2002
AAT12706	2002
AAT37403	2002
AAT37404	2002
AAT37405	2001
AAT37406	2001
AAT37508	2004
AAT37563	2004
AAT38819	2004
AAT39065	2003
AAT39066	2003
AAT39067	2002
AAT39068	2002
AAT39073	2002
AAT39074	2002
AAT39075	2002
AAT39076	2002
AAT39077	2002
AAT39078	2002
AAT39079	2002
AAT39080	2002
AAT45076	1998
AAT51806	2000
AAT51807	2000
AAT51808	2000
AAT51809	2000
AAT51810	2000
AAT51811	2000
AAT51812	2000
AAT51813	2000
AAT51814	2000
AAT51815	2000
AAT51816	2000
AAT51817	2000
AAT51818	2000
AAT51819	2000
AAT51820	2000
AAT51821	2000
AAT51822	2000
AAT51823	2000
AAT51824	2000
AAT51825	2000
AAT51826	2000
AAT51827	2000
AAT51828	2000
AAT51829	2000
AAT51830	2000
AAT51831	2000
AAT51832	2000
AAT51833	2000
AAT51834	2000
AAT51835	2000
AAT51836	2000
AAT51837	2000
AAT51838	2000
AAT51839	2000
AAT51840	2000
AAT51841	2000
AAT51842	2000
AAT51843	2000
AAT51844	2000
AAT51845	2000
AAT51846	2000
AAT51847	2000
AAT51848	2000
AAT51849	2000
AAT51850	2000
AAT51851	2000
AAT51852	2000
AAT51853	2000
AAT51854	2000
AAT51855	2000
AAT51856	2000
AAT51857	2000
AAT51858	2000
AAT51859	2000
AAT64666	1968
AAT64667	1969
AAT64668	1969
AAT64669	1970
AAT64670	1970
AAT64671	1971
AAT64672	1971
AAT64673	1971
AAT64674	1972
AAT64675	1972
AAT64676	1972
AAT64677	1973
AAT64678	1973
AAT64679	1973
AAT64680	1974
AAT64681	1976
AAT64682	1976
AAT64683	1976
AAT64684	1976
AAT64685	1976
