accessionnr	uit
AAO46291	Human
AAO46292	Human
AAO46293	Human
AAO46294	Human
AAO46295	Human
AAO46296	Human
AAO46297	Human
AAO46298	Human
AAO46299	Human
AAO46300	Human
AAO46301	Human
AAO46302	Human
AAO46303	Human
AAO46304	Human
AAO46305	Human
AAO46797	Avian
AAO46798	Avian
AAO46799	Avian
AAO46800	Avian
AAO46801	Avian
AAO46802	Avian
AAO46803	Avian
AAO46804	Avian
AAO46805	Avian
AAO47744	Avian
AAO47745	Avian
AAO47746	Avian
AAO47747	Avian
AAO47748	Avian
AAO47749	Avian
AAO47750	Avian
AAO47751	Avian
AAO47752	Avian
AAO52859	Avian
AAO52860	Avian
AAO52861	Avian
AAO52862	Avian
AAO52863	Avian
AAO52864	Avian
AAO52865	Avian
AAO52866	Avian
AAO52867	Avian
AAO52868	Avian
AAO52869	Avian
AAO52870	Avian
AAO52871	Avian
AAO52872	Avian
AAO52873	Avian
AAO52874	Avian
AAO52875	Avian
AAO52876	Avian
AAO52877	Avian
AAO52878	Avian
AAO52879	Avian
AAO52880	Avian
AAO52881	Avian
AAO52882	Avian
AAO65768	Human
AAO65769	Human
AAO86904	Avian
AAO86905	Avian
AAO86906	Avian
AAO86907	Avian
AAO86908	Avian
AAO86909	Avian
AAO86910	Avian
AAO86911	Avian
AAO86912	Avian
AAO86913	Avian
AAO86914	Avian
AAO86915	Avian
AAO86916	Avian
AAO86917	Avian
AAO86918	Avian
AAO86919	Avian
AAO86920	Avian
AAO86921	Avian
AAO86922	Avian
AAO86923	Avian
AAO86924	Avian
AAO86925	Avian
AAO86926	Avian
AAO86927	Avian
AAO86928	Avian
AAO86929	Avian
AAO86930	Avian
AAO86931	Avian
AAO86932	Avian
AAO86933	Avian
AAO86934	Avian
AAO86935	Avian
AAO86936	Avian
AAO86937	Avian
AAO86938	Avian
AAO86939	Avian
AAO86940	Avian
AAO86941	Avian
AAO86942	Avian
AAO86943	Avian
AAO86944	Avian
AAO86945	Avian
AAO86946	Avian
AAO86947	Avian
AAO86948	Avian
AAO86949	Avian
AAO86950	Avian
AAO86951	Avian
AAO86952	Avian
AAO88265	Human
AAP21996	Human
AAP21997	Human
AAP23238	Human
AAP23303	Avian
AAP34322	Human
AAP34323	Human
AAP34324	Human
AAP34325	Human
AAP41031	Avian
AAP41032	Avian
AAP41033	Avian
AAP41034	Avian
AAP41035	Avian
AAP47821	Swine
AAP49029	Avian
AAP49030	Avian
AAP49031	Avian
AAP49032	Avian
AAP49033	Avian
AAP49034	Avian
AAP49035	Avian
AAP49036	Avian
AAP49037	Avian
AAP49038	Avian
AAP49039	Avian
AAP49040	Avian
AAP49041	Avian
AAP49042	Avian
AAP49043	Avian
AAP49044	Avian
AAP49045	Avian
AAP49046	Avian
AAP49047	Avian
AAP60036	Human
AAP60037	Human
AAP69673	Human
AAP69674	Human
AAP69675	Human
AAP69676	Human
AAP69677	Human
AAP69678	Human
AAP69679	Human
AAP69680	Human
AAP69681	Human
AAP69682	Human
AAP69683	Human
AAP69684	Human
AAP69685	Human
AAP69686	Human
AAP69687	Human
AAP69688	Human
AAP69689	Human
AAP69690	Human
AAP69691	Human
AAP69692	Human
AAP71989	Avian
AAP71990	Avian
AAP71991	Environment
AAP71992	Environment
AAP71993	Environment
